Parts       	Type	Grd	Dmg 	Range	ShtRng	ShtCnt	ShtDly	RldDly	Speed	AimRt	sp1	sp2	UiTile	BltTile 	EffType	EffTile 	Shell	FireEff	ExplodeEff  	ExplScl	FireSound
P_Wpn_Shg_201	Shotgun	1	32	0	195	8	0	0.9	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
P_Wpn_Shg_208	Shotgun	1	34	0	200	9	0	0.9	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
P_Wpn_Shg_204	Shotgun	1	38	0	205	9	0	0.85	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
P_Wpn_Shg_210	Shotgun	1	40	0	210	10	0	0.85	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
P_Wpn_Shg_203	Shotgun	1	44	0	215	10	0	0.8	0.3	1	0	0	0	Bullet_21	Shotgun	Efx_Shotgun	0	0	Damage      	0.8	Shotgun01.wav
// Ion-Cannon																					
P_Wpn_Lsr_101	Laser	1	160	0	305	1	0	2	0.1	0.2	200	1	0	-       	Ion 	Efx_Ion04	0	0	ExplodeIon   	1	Ion01.wav
P_Wpn_Lsr_102	Laser	1	180	0	315	1	0	1.9	0.1	0.2	210	1	0	-       	Ion 	Efx_Ion04	0	0	ExplodeIon  	1	Ion01.wav
P_Wpn_Lsr_103	Laser	1	200	0	325	1	0	1.8	0.1	0.2	220	1	0	-       	Ion 	Efx_Ion06	0	0	ExplodeIon  	1	Ion01.wav
P_Wpn_Lsr_106	Laser	1	220	0	335	1	0	1.7	0.1	0.15	230	1	0	-       	Ion 	Efx_Ion03	0	0	ExplodeIon  	1	Ion01.wav
P_Wpn_Lsr_107	Laser	1	240	0	345	1	0	1.6	0.1	0.15	240	2	0	-       	Ion 	Efx_Ion03	0	0	ExplodeIon  	1	Ion01.wav
P_Wpn_Lsr_108	Laser	1	280	0	355	1	0	1.5	0.1	0.15	250	2	0	-       	Ion 	Efx_Ion01	0	0	ExplodeIon  	1	Ion01.wav
P_Wpn_Lsr_109	Laser	1	300	0	365	1	0	1.4	0.1	0.1	260	3	0	-       	Ion 	Efx_Ion01	0	0	ExplodeIon  	1	Ion01.wav
P_Wpn_Lsr_111	Laser	1	320	0	375	1	0	1.3	0.1	0.1	270	3	0	-       	Ion 	Efx_Ion02	0	0	ExplodeIon  	1	Ion01.wav
P_Wpn_Lsr_210	Laser	1	340	0	385	1	0	1.2	0.1	0.1	280	4	0	-       	Ion 	Efx_Ion02	0	0	ExplodeIon  	1	Ion01.wav
P_Wpn_Lsr_110	Laser	1	360	0	395	1	0	1	0.1	0.05	300	4	0	-       	Ion 	Efx_Ion07	0	0	ExplodeIon  	1	Ion01.wav
// Heavy Machine-Gun																					
P_Wpn_HMG_01	Gun 	1	80	0	300	10	0.6	2.4	1	0.8	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.7	HMG01.wav
P_Wpn_HMG_02	Gun 	2	90	0	315	15	0.6	2.2	1	0.75	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.75	HMG01.wav
P_Wpn_HMG_03	Gun 	3	106	0	330	20	0.6	2	1	0.7	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.8	HMG01.wav
P_Wpn_HMG_04	Gun 	4	108	0	345	25	0.5	1.8	1	0.65	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.88	HMG01.wav
P_Wpn_HMG_05	Gun 	5	129	0	360	30	0.5	1.6	1	0.6	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.9	HMG01.wav
P_Wpn_HMG_06	Gun 	6	155	0	380	35	0.5	1.4	1	0.55	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.95	HMG01.wav
P_Wpn_HMG_07	Gun 	7	151	0	400	40	0.4	1.2	1	0.5	0	0	0	-       	-   	-       	0	0	DamageHMG   	1	HMG01.wav
P_Wpn_HMG_08	Gun 	8	180	0	420	45	0.4	1	1	0.45	0	0	0	-       	-   	-       	0	0	DamageHMG   	1	HMG01.wav
P_Wpn_HMG_09	Gun 	9	214	0	440	50	0.4	0.8	1	0.4	0	0	0	-       	-   	-       	0	0	DamageHMG   	1	HMG01.wav
P_Wpn_HMG_10	Gun 	10	252	0	460	60	0.4	0.6	1	0.3	0	0	0	-       	-   	-       	0	0	DamageHMG   	1	HMG01.wav
// Heavy Missile																					
P_Wpn_Msl_206	Missile	1	120	70	300	4	0.5	2	0.3	0.5	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_208	Missile	2	130	73	310	4	0.47	2	0.32	0.46	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_207	Missile	3	138	76	320	4	0.44	1.8	0.34	0.42	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_403	Missile	4	141	79	335	5	0.41	1.8	0.36	0.38	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_310	Missile	5	152	82	350	5	0.38	1.6	0.38	0.34	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_209	Missile	6	173	85	370	5	0.35	1.6	0.4	0.3	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_404	Missile	7	172	88	400	6	0.32	1.4	0.43	0.26	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_210	Missile	8	192	91	420	6	0.28	1.4	0.46	0.22	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_301	Missile	9	200	94	440	6	0.24	1.2	0.5	0.18	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
P_Wpn_Msl_405	Missile	10	200	100	450	7	0.2	1	0.55	0.14	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
// Plasma-Gun																					
P_Wpn_Rlg_106	Railgun	1	150	0	340	1	0	1.2	0.2	0.6	30	50	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.7	Plasma02.wav
P_Wpn_Rlg_107	Railgun	1	175	0	360	1	0	1.2	0.22	0.55	35	60	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.75	Plasma02.wav
P_Wpn_Rlg_108	Railgun	1	190	0	380	1	0	1.1	0.24	0.5	40	70	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.8	Plasma02.wav
P_Wpn_Rlg_109	Railgun	1	228	0	400	1	0	1.1	0.26	0.45	45	80	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.85	Plasma02.wav
P_Wpn_Rlg_110	Railgun	1	250	0	420	1	0	1	0.28	0.4	50	90	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.9	Plasma02.wav
P_Wpn_Rlg_201	Railgun	1	300	0	440	1	0	1	0.3	0.35	55	100	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.95	Plasma02.wav
P_Wpn_Rlg_202	Railgun	1	324	0	460	1	0	0.9	0.32	0.3	60	120	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	1	Plasma02.wav
P_Wpn_Rlg_203	Railgun	1	380	0	480	1	0	0.9	0.34	0.25	65	140	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	1	Plasma02.wav
P_Wpn_Rlg_208	Railgun	1	390	0	500	1	0	0.8	0.36	0.2	70	160	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	1	Plasma02.wav
P_Wpn_Rlg_209	Railgun	1	450	0	520	1	0	0.8	0.38	0.1	75	180	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	1	Plasma02.wav
//Parts       	Type	Grd	Dmg 	Range	ShtRng	ShtCnt	ShtDly	RldDly	Speed	AimRt	UiTile	BltTile 	EffType	EffTile 	Shell	FireEff	ExplodeEff  	ExplScl	FireSound		
Turret_gun_01	Gun 	3	20	0	220	14	0.18	2.3	1	0.9	0	0	0	-       	-   	-       	0	0	Damage       	1	HMG01.wav
Turret_gun_02	Gun 	4	25	0	225	16	0.17	2.2	1	0.85	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
Turret_gun_03	Gun 	5	30	0	230	18	0.16	2.1	1	0.8	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
Turret_gun_04	Gun 	6	35	0	235	20	0.15	2	1	0.75	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
Turret_gun_05	Gun 	7	40	0	240	24	0.14	1.9	1	0.7	0	0	0	-       	-   	-       	0	0	Damage      	1	HMG01.wav
Turret_msl_01	Missile	3	100	64	240	3	0.45	2.5	0.24	0.68	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
Turret_msl_02	Missile	4	120	66	245	3	0.45	2.5	0.26	0.62	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
Turret_msl_03	Missile	5	140	68	250	4	0.4	2	0.28	0.56	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
Turret_msl_04	Missile	6	160	70	260	4	0.4	2	0.3	0.5	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
Turret_msl_05	Missile	7	180	74	270	5	0.35	2	0.32	0.44	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
Turret_mg_01	Gun 	3	20	0	300	40	0.08	2.3	1	0.9	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.7	HMG01.wav
Turret_mg_02	Gun 	4	25	0	320	50	0.07	2.2	1	0.85	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.75	HMG01.wav
Turret_mg_03	Gun 	5	30	0	340	60	0.06	2.1	1	0.8	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.8	HMG01.wav
Turret_mg_04	Gun 	6	35	0	360	70	0.05	2	1	0.75	0	0	0	-       	-   	-       	0	0	DamageHMG   	0.9	HMG01.wav
Turret_mg_05	Gun 	7	40	0	380	80	0.04	1.9	1	0.7	0	0	0	-       	-   	-       	0	0	DamageHMG   	1	HMG01.wav
Turret_ion_01	Laser 	3	160	0	310	1	0	3	0.1	0.2	200	1	0	-       	Ion 	Efx_Ion01	0	0	ExplodeIon  	1	Ion01.wav
Turret_ion_02	Laser 	4	200	0	330	1	0	2.7	0.1	0.2	220	1	0	-       	Ion 	Efx_Ion01	0	0	ExplodeIon  	1	Ion01.wav
Turret_ion_03	Laser	5	240	0	350	1	0	2.4	0.1	0.15	240	2	0	-       	Ion 	Efx_Ion01	0	0	ExplodeIon  	1	Ion01.wav
Turret_ion_04	Laser	6	280	0	370	1	0	2	0.1	0.15	260	2	0	-       	Ion 	Efx_Ion01	0	0	ExplodeIon  	1	Ion01.wav
Turret_ion_05	Laser	7	320	0	390	1	0	1.6	0.1	0.1	280	3	0	-       	Ion 	Efx_Ion01	0	0	ExplodeIon  	1	Ion01.wav
Turret_lsr_01	Gun 	3	20	0	220	14	0.18	2.3	1	0.9	0	0	0	-       	-   	-       	0	0	ExplodePlasma 	1	Plasma02.wav
Turret_lsr_02	Gun 	4	25	0	225	16	0.17	2.2	1	0.85	0	0	0	-       	-   	-       	0	0	ExplodePlasma	1	Plasma02.wav
Turret_lsr_03	Gun 	5	30	0	230	18	0.16	2.1	1	0.8	0	0	0	-       	-   	-       	0	0	ExplodePlasma	1	Plasma02.wav
Turret_lsr_04	Gun 	6	35	0	235	20	0.15	2	1	0.75	0	0	0	-       	-   	-       	0	0	ExplodePlasma	1	Plasma02.wav
Turret_lsr_05	Gun 	7	40	0	240	24	0.14	1.9	1	0.7	0	0	0	-       	-   	-       	0	0	ExplodePlasma	1	Plasma02.wav
Turret_pla_01	Railgun	3	150	0	220	1	0	1.2	0.2	0.5	30	50	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.7	Plasma02.wav
Turret_pla_02	Railgun	4	180	0	225	1	0	1.1	0.23	0.45	40	60	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.75	Plasma02.wav
Turret_pla_03	Railgun	5	210	0	230	1	0	1	0.27	0.4	50	80	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.8	Plasma02.wav
Turret_pla_04	Railgun	6	240	0	235	1	0	0.9	0.32	0.35	60	100	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	0.9	Plasma02.wav
Turret_pla_05	Railgun	7	270	0	240	1	0	0.8	0.38	0.3	70	120	0	Railgun_00	Rail	Efx_Rail01	0	0	ExplodePlasma  	1	Plasma02.wav
//P_Wpn_Sni_101	Sniper	1	1200	0	400	1	0	1.5	1	0.1	0	0	0	-       	Laser	Efx_Trail03	0	0	-           	-   	Wpn_Laser
//P_Wpn_Sni_102	Sniper	1	2500	0	420	1	0	1.3	1	0.05	0	0	0	-       	Laser	Efx_Trail01	0	0	-           	-   	Wpn_Laser
//P_Wpn_Sni_103	Sniper	1	5000	0	440	1	0	1.1	1	0.02	0	0	0	-       	Laser	Efx_Trail01	0	0	-           	-   	Wpn_Laser
//P_Wpn_Sni_104	Sniper	1	10000	0	460	1	0	1	1	0.01	0	0	0	-       	Laser	Efx_Trail01	0	0	-           	-   	Wpn_Laser
AS_BOMB_01  	Bomb	1	300	120	300	10	0.5	2	0.07	1	0	0	0	Bullet_06 	-   	-       	0	0	ExplodeGround	1	Missile01.wav
AS_BOMB_02  	Bomb	1	400	130	300	11	0.5	2	0.07	1	0	0	0	Bullet_06 	-   	-       	0	0	ExplodeGround	1	Missile01.wav
AS_BOMB_03  	Bomb	1	500	140	300	12	0.5	2	0.07	1	0	0	0	Bullet_06 	-   	-       	0	0	ExplodeGround	1	Missile01.wav
AS_BOMB_04  	Bomb	1	600	150	300	13	0.5	2	0.07	1	0	0	0	Bullet_06 	-   	-       	0	0	ExplodeGround	1	Missile01.wav
AS_BOMB_05  	Bomb	1	700	160	300	14	0.5	2	0.07	1	0	0	0	Bullet_06 	-   	-       	0	0	ExplodeGround	1	Missile01.wav
AS_MISSILE_01	Missile	1	400	150	300	10	0.5	2	0.2	1	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
AS_MISSILE_02	Missile	1	500	160	300	11	0.5	2	0.2	1	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
AS_MISSILE_03	Missile	1	600	170	300	12	0.5	2	0.2	1	0	0	0	Bullet_16	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
AS_MISSILE_04	Missile	1	700	180	300	13	0.5	2	0.2	1	0	0	0	Bullet_16	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
AS_MISSILE_05	Missile	1	800	190	300	14	0.5	2	0.2	1	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
AS_NUCLEAR_01	Nuclear	1	1500	300	300	1	0.5	2	0.05	0	0	0	0	Bullet_19	-   	-       	0	0	Explode02   	2	Missile01.wav
AS_NUCLEAR_02	Nuclear	1	2000	320	300	1	0.5	2	0.05	0	0	0	0	Bullet_19	-   	-       	0	0	Explode02   	2	Missile01.wav
AS_NUCLEAR_03	Nuclear	1	2700	360	300	1	0.5	2	0.05	0	0	0	0	Bullet_19	-   	-       	0	0	Explode02   	2	Missile01.wav
AS_NUCLEAR_04	Nuclear	1	3700	400	300	1	0.5	2	0.05	0	0	0	0	Bullet_19	-   	-       	0	0	Explode02   	2	Missile01.wav
AS_NUCLEAR_05	Nuclear	1	5000	450	300	1	0.5	2	0.05	0	0	0	0	Bullet_19	-   	-       	0	0	Explode02   	2	Missile01.wav
AS_EMP_01   	EMP 	1	100	120	300	1	0.5	2	0.05	0	12	0	0	Bullet_19	-   	-       	0	0	-           	2	Missile01.wav
AS_EMP_02   	EMP 	1	120	150	300	1	0.5	2	0.05	0	18	0	0	Bullet_19	-   	-       	0	0	-           	2	Missile01.wav
AS_EMP_03   	EMP 	1	150	200	300	1	0.5	2	0.05	0	26	0	0	Bullet_19	-   	-       	0	0	-           	2	Missile01.wav
AS_EMP_04   	EMP 	1	200	250	300	1	0.5	2	0.05	0	36	0	0	Bullet_19	-   	-       	0	0	-           	2	Missile01.wav
CF_MISSILE_01	Missile	1	300	100	300	2	0.5	2	0.05	1	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
CF_MISSILE_02	Missile	1	300	105	300	3	0.5	2	0.05	1	0	0	0	Bullet_15	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
CF_MISSILE_03	Missile	1	300	110	300	4	0.5	2	0.05	1	0	0	0	Bullet_16	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
CF_MISSILE_04	Missile	1	300	115	300	5	0.5	2	0.05	1	0	0	0	Bullet_16	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
CF_MISSILE_05	Missile	1	300	120	300	6	0.5	2	0.05	1	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
CF_MISSILE_06	Missile	1	300	125	300	7	0.5	2	0.05	1	0	0	0	Bullet_17	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
CF_MISSILE_07	Missile	1	300	130	300	8	0.5	2	0.05	1	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
CF_MISSILE_08	Missile	1	300	135	300	9	0.5	2	0.05	1	0	0	0	Bullet_18	Trail	Efx_Trail01	0	0	ExplodeGround	1	Missile01.wav
AS_LASER_01 	Laser	1	300	80	300	10	0.5	2	0.6	1	0	0	0	-       	Laser	Efx_Trail03	0	0	-           	-   	Plasma02.wav
//Parts       	Type	Grd	Dmg 	Range	ShtRng	ShtCnt	ShtDly	RldDly	Speed	AimRt	UiTile	BltTile 	EffType	EffTile 	Shell	FireEff	ExplodeEff  	ExplScl	FireSound		
E_Tank_Wpn_01	Gun 	1	7	30	180	10	0.3	3	0.05	1	0	0	0	-       	-   	-       	0	0	Damage         	1	HMG01.wav
E_Tank_Wpn_02	Bullet	1	40	30	190	1	0.8	2.4	0.05	1	0	0	0	Bullet_11 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_03	Bullet	1	40	30	200	1	0.8	2.4	0.05	1	0	0	0	Bullet_08 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_04	Bullet	1	45	30	210	1	0.6	2.4	0.08	1	0	0	0	Bullet_00	-   	-       	0	0	ExplodeGround	1	Wpn_EnGun.wav
E_Tank_Wpn_05	Bullet	1	45	30	220	1	0.6	2.4	0.08	1	0	0	0	Bullet_03	-   	-       	0	0	ExplodeGround	1	Wpn_EnGun.wav
E_Tank_Wpn_06	Bullet	1	47	30	230	1	0.5	2.4	0.1	1	0	0	0	Bullet_03	-   	-       	0	0	ExplodeGround	1	Wpn_EnGun.wav
E_Tank_Wpn_07	Bullet	1	50	30	240	2	1.5	2.4	0.1	1	0	0	0	Bullet_02	-   	-       	0	0	ExplodeGround	1	Wpn_EnGun.wav
E_Tank_Wpn_08	Bullet	1	50	30	250	2	1.5	2.4	0.1	1	0	0	0	Bullet_08 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_09	Bullet	1	55	60	260	2	1.5	2.4	0.1	1	0	0	0	Bullet_11 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_10	Bullet	1	55	60	260	2	1.5	2.4	0.1	1	0	0	0	Bullet_10 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_11	Bullet	1	60	60	270	2	1.5	2.4	0.1	1	0	0	0	Bullet_05	-   	-       	0	0	ExplodeGround	1	Wpn_EnGun.wav
E_Tank_Wpn_12	Bullet	1	60	60	270	3	1.5	2.4	0.1	1	0	0	0	Bullet_11 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_13	Gun 	1	15	0	280	8	0.22	2.4	0.08	1	0	0	0	-       	-   	-       	0	0	Damage       	1	Wpn_EnGun.wav
E_Tank_Wpn_14	Bullet	1	34	60	280	3	1.5	2.4	0.08	1	0	0	0	Bullet_08 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_15	Bullet	1	22	60	290	3	1.4	2.4	0.08	1	0	0	0	Bullet_08 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_16	Bullet	1	32	60	290	4	1.4	2.4	0.15	1	0	0	0	Bullet_12	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnMissile.wav
E_Tank_Wpn_17	Bullet	1	35	60	300	4	1.4	2.5	0.08	1	0	0	0	Bullet_04	-   	-       	0	0	ExplodeGround	1	Wpn_EnCanon.wav
E_Tank_Wpn_18	Bullet	1	28	60	300	4	1.4	2.5	0.08	1	0	0	0	Bullet_12 	Flame	Efx_Flame	0	0	ExplodeGround	1	Wpn_EnCanon.wav
